"","method","model","resample","num.in.ci"
"1","gam",68,"ranAgeMeth",46
"2","gam",72,"ranAgeMeth",47
"3","gam",75,"ranAgeMeth",48
"4","gam",84,"ranAgeMeth",46
"5","gam",87,"ranAgeMeth",46
"6","glmnet",21,"ranAgeMeth",47
"7","glmnet",24,"ranAgeMeth",46
"8","glmnet",71,"ranAgeMeth",37
"9","glmnet",80,"ranAgeMeth",38
"10","glmnet",81,"ranAgeMeth",41
"11","rf",7,"ranAgeMeth",33
"12","rf",14,"ranAgeMeth",28
"13","rf",47,"ranAgeMeth",27
"14","rf",62,"ranAgeMeth",25
"15","rf",119,"ranAgeMeth",27
"16","svm",9,"ranAgeMeth",32
"17","svm",18,"ranAgeMeth",36
"18","svm",21,"ranAgeMeth",45
"19","svm",24,"ranAgeMeth",45
"20","svm",90,"ranAgeMeth",36
